model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc
rf_small_leaf,0.8940852819807428,0.7921727395411606,0.8840361445783133,0.8355871886120997,0.9465277777777777,0.8984838497033619,0.9218802840716943,0.9603211792456577
rf_deeper,0.8927097661623109,0.7921195652173914,0.8780120481927711,0.8328571428571429,0.9439446366782007,0.8991430454845089,0.9209993247805537,0.95970765064212
rf_current,0.8817056396148556,0.7657068062827225,0.8810240963855421,0.819327731092437,0.9442484121383204,0.8820039551746869,0.9120654396728016,0.9556621343647498
rf_no_class_weight,0.8940852819807428,0.8543371522094927,0.786144578313253,0.8188235294117647,0.9095541401273886,0.9413315754779169,0.9251700680272109,0.9556244093049854
