feature,importance
ehpadPrice.prixHebPermCsa,0.08535555048906138
ehpadPrice.prixHebPermCs,0.08491263788754727
nb_prix_ehpad_renseignes,0.0607603821295601
legal_status_Privé commercial,0.055848891837758555
ecart_prix_dept,0.04495329401865842
type_principal_EHPAD,0.04382775151003979
prixMin,0.043437426048355356
IsEHPAD,0.041091240137325825
ratio_prix_dept,0.039615967715430384
prix_median_dept,0.029725828844664855
ehpadPrice.prixHebPermCd,0.029173206101757193
coordinates.longitude,0.028139236427141414
capacity,0.02672722662860903
ehpadPrice.prixHebTempCs,0.026306893237805242
legal_status_Public,0.025988092364069182
ehpadPrice.prixHebPermCda,0.025800227873885015
IsESLD,0.02144674972254335
type_principal_ESLD,0.021020606323116482
coordinates.latitude,0.01996537514266159
ehpadPrice.tarifGir12,0.0191974937575067
ehpadPrice.tarifGir34,0.014505656633966768
nb_prix_ra_renseignes,0.013898988091199223
ehpadPrice.tarifGir56,0.013292123783237932
nb_services_specialises,0.013138506291873584
ehpadPrice.prixHebTempCsa,0.012183376900790984
raPrice.PrixF1ASH,0.011459428128736657
legal_status_Privé non lucratif,0.009960303844433633
raPrice.PrixF1BisASH,0.008674561503304451
raPrice.PrixF1Bis,0.008517667939959247
ehpadPrice.prixHebTempCd,0.007331106225901876
type_principal_Résidence autonomie,0.005933437719264452
coordinates.deptcode_75,0.005661130727319205
IsRA,0.005428851499058244
raPrice.PrixF2,0.005039783652560187
raPrice.PrixF1,0.004973878339136603
IsHTEMPO,0.004567848829735326
raPrice.PrixF2ASH,0.004318854232149185
IsACC_JOUR,0.003978509159050153
IsPASA,0.003742570807907639
aide_logement_apl,0.0036494774724592743
IsCONV_APL,0.0036340871969917487
IsF2,0.0034354909463432805
IsALZH,0.0033767737297680615
IsHCOMPL,0.0029980500947692137
coordinates.deptcode_94,0.002896762810471516
coordinates.deptcode_62,0.0028157021588638555
coordinates.deptcode_95,0.002798998641584814
coordinates.deptcode_69,0.002251515241457029
coordinates.deptcode_13,0.0021243525159047715
IsF1Bis,0.0019065717523595893
coordinates.deptcode_38,0.0017942683227098574
ehpadPrice.prixHebTempCda,0.001710616906922504
type_principal_Accueil de jour,0.0015242688531692343
coordinates.deptcode_33,0.0013270043657757794
IsPUV,0.001299211616795418
IsEHPA,0.0012840138493833348
coordinates.deptcode_59,0.0011627846162485735
coordinates.deptcode_92,0.0011416394833368326
IsAJA,0.0010946425806570821
coordinates.deptcode_85,0.001023553977824151
coordinates.deptcode_93,0.0009983390068619
IsF1,0.0009874301429951412
coordinates.deptcode_21,0.0008584211297581776
coordinates.deptcode_35,0.0008161558571606898
coordinates.deptcode_68,0.0007550046030495438
coordinates.deptcode_91,0.0007355150416908218
coordinates.deptcode_78,0.0007067036363868566
coordinates.deptcode_77,0.0007051656562082256
coordinates.deptcode_30,0.0006974790798519712
coordinates.deptcode_17,0.000690539046734047
coordinates.deptcode_56,0.000654504790005268
coordinates.deptcode_86,0.0006311863440840967
coordinates.deptcode_14,0.0006201655727517011
type_principal_EHPA,0.0006109293131205276
coordinates.deptcode_31,0.0006078568361169241
coordinates.deptcode_12,0.0005830098092859269
coordinates.deptcode_44,0.0005661211401473217
coordinates.deptcode_49,0.0005508694108397737
coordinates.deptcode_74,0.0005446080483530499
coordinates.deptcode_29,0.0005187827935406961
coordinates.deptcode_73,0.00047574348256264825
coordinates.deptcode_6,0.00045442275469519106
coordinates.deptcode_60,0.00044789208715678594
coordinates.deptcode_76,0.00041859161567349575
coordinates.deptcode_34,0.0003827217902820929
IsUHR,0.00037395531584429807
coordinates.deptcode_71,0.000370393467247695
coordinates.deptcode_42,0.00036156383427411753
coordinates.deptcode_22,0.00033997890736496436
coordinates.deptcode_3,0.0003320042689843723
coordinates.deptcode_57,0.00032218106621719665
coordinates.deptcode_83,0.00032181314094226394
coordinates.deptcode_47,0.0002977064884789734
coordinates.deptcode_81,0.00029441209341954
coordinates.deptcode_16,0.00028211945091783443
coordinates.deptcode_66,0.00026298682953217265
coordinates.deptcode_51,0.0002485833733969103
type_principal_Autre,0.00024780187463305773
coordinates.deptcode_80,0.00023965529840090766
coordinates.deptcode_11,0.00023579350665299127
coordinates.deptcode_63,0.00022373989111489399
coordinates.deptcode_26,0.00021997634578647504
coordinates.deptcode_41,0.00021394714467176738
coordinates.deptcode_1,0.00020808278319351512
coordinates.deptcode_64,0.00020302695694619566
coordinates.deptcode_50,0.00019293253947711393
coordinates.deptcode_971,0.0001804157988368915
coordinates.deptcode_54,0.00017456419090614787
coordinates.deptcode_84,0.00016658269253408197
coordinates.deptcode_10,0.00015111070444787333
coordinates.deptcode_25,0.0001396912814734711
coordinates.deptcode_72,0.00012656787882585544
legal_status_Unknown,0.00012363480438171834
coordinates.deptcode_37,0.00011252851712802095
coordinates.deptcode_39,0.00011170256037598864
coordinates.deptcode_2,0.00010645649346656584
coordinates.deptcode_27,0.0001054800622697336
coordinates.deptcode_45,9.904173274799027e-05
coordinates.deptcode_89,9.640234764986911e-05
coordinates.deptcode_67,9.12132267243341e-05
coordinates.deptcode_79,9.02652176707607e-05
IsACC_NUIT,8.269051365814484e-05
coordinates.deptcode_7,8.066183764776194e-05
coordinates.deptcode_87,8.046688378278725e-05
coordinates.deptcode_36,6.182126810040093e-05
coordinates.deptcode_88,6.154274919333292e-05
coordinates.deptcode_32,5.3700402277780414e-05
coordinates.deptcode_61,5.140797945916388e-05
coordinates.deptcode_24,5.1232359985431594e-05
coordinates.deptcode_972,4.717339590003e-05
coordinates.deptcode_15,4.646649806394078e-05
coordinates.deptcode_90,3.981639871120264e-05
coordinates.deptcode_19,3.781364977285718e-05
coordinates.deptcode_46,3.762718606905096e-05
coordinates.deptcode_4,3.651297092007817e-05
coordinates.deptcode_28,3.3557701016131534e-05
coordinates.deptcode_2A,3.2619005647921286e-05
coordinates.deptcode_58,3.2077979114068575e-05
coordinates.deptcode_5,3.176574804101378e-05
