model,feature_type,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc
random_forest_embeddings,text_embeddings,0.8418156808803301,0.7511811023622047,0.7183734939759037,0.7344110854503464,0.8790426908150065,0.8958470665787739,0.8873653281096964,0.9118246221537436
svm_rbf_embeddings,text_embeddings,0.8243924805135259,0.6605714285714286,0.8704819277108434,0.751137102014295,0.9341500765696784,0.8042188529993408,0.8643287283032235,0.91163401132546
logistic_regression_embeddings,text_embeddings,0.8065107748739111,0.642018779342723,0.8237951807228916,0.7216358839050132,0.9119638826185101,0.7989452867501649,0.8517217146872804,0.8840520288140036
